,title_pt,title_en,title_polarity,title_subjectivity,sentiment_class
0,recomendo,I recommend,0.0,0.0,neutral
1,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
2,chegou produto,product arrived,0.0,0.0,neutral
3,ótimo,excellent,1.0,1.0,positive
4,bom,bom,0.4,0.0,positive
5,bom,bom,0.4,0.0,positive
6,maravilhoso,amazing,0.6000000000000001,0.9,positive
7,entrega perfeita,perfect delivery,1.0,1.0,positive
8,ótimo,excellent,1.0,1.0,positive
9,mt lindo,very beautiful,1.0,1.0,positive
10,ótimo produto,great product,0.8,0.75,positive
11,recomendo sempre,I always recommend,0.0,0.0,neutral
12,recomendo,I recommend,0.0,0.0,neutral
13,recebi produto,I received product,0.0,0.0,neutral
14,otimo,great,0.8,0.75,positive
15,entrega atrasou,delivery delayed,0.0,0.0,neutral
16,boa,boa,0.4,0.0,positive
17,,,,,0
18,médio,average,-0.15,0.39999999999999997,negative
19,prazo entrega,delivery time,0.0,0.0,neutral
20,super produto,super product,0.3333333333333333,0.6666666666666666,positive
21,falta produto quebra,missing product breaks,-0.2,0.05,negative
22,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
23,recebi ainda,I still received,0.0,0.0,neutral
24,recomendo,I recommend,0.0,0.0,neutral
25,nota,use,0.0,0.0,neutral
26,suspense,suspense,0.0,0.0,neutral
27,entrega antes previsto,delivery ahead of schedule,0.0,0.0,neutral
28,recomendo,I recommend,0.0,0.0,neutral
29,top,top,0.5,0.5,positive
30,produto show,show product,0.0,0.0,neutral
31,super recoendo,super recoendo,0.3333333333333333,0.6666666666666666,positive
32,erraram caixa acústica,misspelled speaker,0.0,0.0,neutral
33,ótima compra,Great buy,0.8,0.75,positive
34,horrível,horrible,-1.0,1.0,negative
35,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
36,bom,bom,0.4,0.0,positive
37,otimo,great,0.8,0.75,positive
38,,,,,0
39,recomendo,I recommend,0.0,0.0,neutral
40,bom,bom,0.4,0.0,positive
41,lamenetável,with laminate,0.0,0.0,neutral
42,qualidade ruim,bad quality,-0.6999999999999998,0.6666666666666666,negative
43,insatisfeito,dissatisfied,0.0,0.0,neutral
44,mega recomendo,I highly recommend,0.16,0.5399999999999999,neutral
45,excelente produto,excellent product,1.0,1.0,positive
46,recomendo,I recommend,0.0,0.0,neutral
47,nao entrega produto,does not deliver product,0.0,0.0,neutral
48,recomendo,I recommend,0.0,0.0,neutral
49,captador presys blend,captador precise blend,0.4,0.8,positive
50,produto pirata,pirated product,0.0,0.0,neutral
51,produto fraco,weak product,-0.375,0.625,negative
52,nota,use,0.0,0.0,neutral
53,tudo certo,all right,0.2857142857142857,0.5357142857142857,neutral
54,recomendo,I recommend,0.0,0.0,neutral
55,ótimo,excellent,1.0,1.0,positive
56,otimo,great,0.8,0.75,positive
57,perfeito,Perfect,1.0,1.0,positive
58,lol pet,lol pet,0.8,0.7,positive
59,bom,bom,0.4,0.0,positive
60,excelente,great,0.8,0.75,positive
61,,,,,0
62,ótimo custo x benefício,great cost x benefit,0.8,0.75,positive
63,bom,bom,0.4,0.0,positive
64,produto entrega ótimos,product delivery great,0.8,0.75,positive
65,produto ok,ok product,0.5,0.5,positive
66,excelente,great,0.8,0.75,positive
67,,,,,0
68,,,,,0
69,recomendo todos,I recommend everyone,0.0,0.0,neutral
70,super recomendado,highly recommended,0.16,0.5399999999999999,neutral
71,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
72,excelente loja,excellent store,1.0,1.0,positive
73,super satisfeita,super satisfied,0.41666666666666663,0.8333333333333333,positive
74,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
75,bom produto,good product,0.7,0.6000000000000001,positive
76,ótimo,excellent,1.0,1.0,positive
77,,,,,0
78,produto incorreto,incorrect product,0.0,0.0,neutral
79,otimo,great,0.8,0.75,positive
80,gostei,I liked,0.6,0.8,positive
81,pedaleira plataforma,platform pedalboard,0.0,0.0,neutral
82,produto defeito,defect product,0.0,0.0,neutral
83,regular,regular,0.0,0.07692307692307693,neutral
84,bom,bom,0.4,0.0,positive
85,entrega antes prazo,delivery before deadline,0.0,0.0,neutral
86,super recomendo,highly recommend,0.16,0.5399999999999999,neutral
87,bom,bom,0.4,0.0,positive
88,bom,bom,0.4,0.0,positive
89,recomendo,I recommend,0.0,0.0,neutral
90,otimo produtos,great products,0.8,0.75,positive
91,luminária excelente,excellent lamp,1.0,1.0,positive
92,recomendo todos otima,I recommend all great,0.8,0.75,positive
93,chegou antes prazo,arrived before deadline,0.0,0.0,neutral
94,boa americana,good american,0.35,0.30000000000000004,positive
95,excelente,great,0.8,0.75,positive
96,entrega encomenda,order delivery,0.0,0.0,neutral
97,excelente,great,0.8,0.75,positive
98,recomendo,I recommend,0.0,0.0,neutral
99,produto péssimo,terrible product,-1.0,1.0,negative
100,ótima,excellent,1.0,1.0,positive
101,boa,boa,0.4,0.0,positive
102,bom,bom,0.4,0.0,positive
103,produto chegou,product arrived,0.0,0.0,neutral
104,otima,kidnaps,0.0,0.0,neutral
105,recomendaria sim,yes would recommend,0.0,0.0,neutral
106,recomendo,I recommend,0.0,0.0,neutral
107,capa notbuk,capa note,0.0,0.0,neutral
108,entrega atrasada,late delivery,-0.3,0.6,negative
109,comprei produtos,bought products,0.0,0.0,neutral
110,bom,bom,0.4,0.0,positive
111,bom,bom,0.4,0.0,positive
112,ótimo,excellent,1.0,1.0,positive
113,produto entregue,product delivered,0.0,0.0,neutral
114,boa,boa,0.4,0.0,positive
115,ótimo,excellent,1.0,1.0,positive
116,péssima,bad,-0.6999999999999998,0.6666666666666666,negative
117,mto bom,very good,0.9099999999999999,0.7800000000000001,positive
118,bom,bom,0.4,0.0,positive
119,entragou primeiro dia,arrived first day,0.25,0.3333333333333333,neutral
120,tudo prometido,all promised,0.0,0.0,neutral
121,recomendadíssimo,highly recommended,0.16,0.5399999999999999,neutral
122,bom produto,good product,0.7,0.6000000000000001,positive
123,produto entregue prazo,product delivered deadline,0.0,0.0,neutral
124,sério rápido,serious fast,-0.06666666666666665,0.6333333333333333,negative
125,bom,bom,0.4,0.0,positive
126,ótimo,excellent,1.0,1.0,positive
127,produto bom,good product,0.7,0.6000000000000001,positive
128,ótimo,excellent,1.0,1.0,positive
129,bom,bom,0.4,0.0,positive
130,entregue prazo,deliver deadline,0.0,0.0,neutral
131,descrição produto erra,wrong product description,-0.5,0.9,negative
132,aprovado,approved,0.0,0.0,neutral
133,entregou tempo,delivered time,0.0,0.0,neutral
134,satisfeito compra,satisfied purchase,0.5,1.0,positive
135,entrega parcial,Partial delivery,-0.1,0.3,negative
136,recomendo,I recommend,0.0,0.0,neutral
137,friso lateral onix,friso lateral onix,0.0,0.0,neutral
138,bebedouro,drinking fountain,0.0,0.0,neutral
139,produto avaria,product malfunction,0.0,0.0,neutral
140,pedido cancelado,canceled order,0.0,0.0,neutral
141,excelente,great,0.8,0.75,positive
142,bom relógio entrega ruim,good watch bad delivery,5.551115123125783e-17,0.6333333333333333,neutral
143,satisfeito,pleased,0.5,1.0,positive
144,bom,bom,0.4,0.0,positive
145,produto otimo,great product,0.8,0.75,positive
146,recomendo,I recommend,0.0,0.0,neutral
147,,,,,0
148,,,,,0
149,bom,bom,0.4,0.0,positive
150,entregue prazo,deliver deadline,0.0,0.0,neutral
151,bom,bom,0.4,0.0,positive
152,produto errado,wrong product,-0.5,0.9,negative
153,ótima,excellent,1.0,1.0,positive
154,top,top,0.5,0.5,positive
155,recomendo,I recommend,0.0,0.0,neutral
156,esclarecimento,enlightenment,0.0,0.0,neutral
157,satisfeito,pleased,0.5,1.0,positive
158,ok,ok,0.5,0.5,positive
159,exelente,excellent,1.0,1.0,positive
160,ok,ok,0.5,0.5,positive
161,lindo,lindo,0.0,0.0,neutral
162,recebi dois produt,I received two products,0.0,0.0,neutral
163,super indico,super indica,0.3333333333333333,0.6666666666666666,positive
164,defeito,defect,0.0,0.0,neutral
165,tudo ok,everything is OK,0.5,0.5,positive
166,recomendo,I recommend,0.0,0.0,neutral
